"DocumentID (has format doc-x-xx). 

Write ""doc-x-xx"" with the x's having the appropriate numbers for the document you are reviewing. Include the ""doc-"" prefix. Use lowercase letters.",Parties Involved. Look at the top of the form for the parties involved in the case.,Kind of personal data involved in the case (select all that apply). This is the data that is the subject of the dispute.,Legal Issue,Document Type,Date of Document or Case,Type of court.,"Something interesting? Potential Problematic Strategic Use of HIPAA. This applies to cases where HIPAA is being used to undermine lawsuits that seeks to assert individual rights (e.g. lawsuits about environmental harms, workplace injuries or drug harms or just feels ""creepy"") [OPTIONAL]",,,,,,
doc-10-49,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-10-50,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2019,Federal court,,,,,,,
doc-6-19,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,,2005,Can't tell,,,,,,,
doc-6-20,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2013,State court,,,,,,,
doc-6-21,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2015,State court,,,,,,,
doc-9-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2020,Federal court,,,,,,,
doc-6-22,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2010,State court,,,,,,,
doc-6-23,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2007,State court,,,,,,,
doc-8-10,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2023,State court,,,,,,,
doc-8-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2010,State court,,,,,,,
doc-6-24,Healthcare Provider vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2002,State court,,,,,,,
doc-8-12,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Declaration,2001,Federal court,,,,,,,
doc-8-13,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Vitae,2022,Federal court,,,,,,,
doc-8-14,Individual vs. Healthcare Provider (Covered Entity),not giving accommodation for deaf person (ADA issue),,Expert Witness Reports,2014,Federal court,,,,,,,
doc-6-25,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Financial Data",,Expert Witness Reports,2022,State court,,,,,,,
doc-4-8,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Depositions,2019,Federal court,,,,,,,
doc-6-26,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,State court,,,,,,,
doc-4-9,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Depositions,2011,State court,,,,,,,
doc-6-27,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2006,State court,,,,,,,
doc-8-15,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Compliance",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-4-10,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2020,State court,,,,,,,
doc-5-99,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Court Transcript",2021,Federal court,"Interesting use of HIPAA where Expert is vague when disclosing which ""relevant providers"" they pulled health information from",,,,,,
doc-6-28,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2012,State court,,,,,,,
doc-8-16,Party names are too vague to tell,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-6-29,individual vs. an energy company,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,State court,,,,,,,
doc-8-17,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2018,Federal court,,,,,,,
doc-4-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2008,State court,,,,,,,
doc-5-100,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2015,Federal court,Deals with management failure that resulted in workplace death,,,,,,
doc-6-30,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,State court,,,,,,,
doc-6-1,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2013,Federal court,relates tor drug harms and legal malpractice of accessing information related to drug use,,,,,,
doc-8-18,Neither Party is a Covered Entity,class action exposure to chemicals causing cancer,,Expert Witness Reports,2023,Federal court,,,,,,,
doc-6-31,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2015,State court,,,,,,,
doc-5-46,Individual vs. Healthcare Provider and Healthcare Provider vs. Healthcare Provide (cannot select both),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2020,Federal court,,,,,,,
doc-6-2,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2011,Can't tell,,,,,,,
doc-8-19,Neither Party is a Covered Entity,"Medical information not covered by HIPAA (e.g. aggregate prescription data), Compliance training",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-4-12,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2021,Federal court,,,,,,,
doc-6-32,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2015,State court,,,,,,,
doc-4-12,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Depositions,2022,Federal court,,,,,,,
doc-6-33,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,publication list,Not known,Can't tell,,,,,,,
doc-8-20,"University is likely a covered entity but it is the entire university, also doesn't fit into one of these categories",IRB issue,,Depositions,2005,Federal court,,,,,,,
doc-6-3,Business Associate of Covered Entity (Covered Entity),"Educational or Professional Licensing Data, Financial Data",,Expert Witness Reports,2009,Federal court,Defendant's failure to adopt legally required privacy rules,,,,,,
doc-6-4,Resume,Not applicable (e.g. because you are dealing with a resume),,Expert Resume,2009,State court,,,,,,,
doc-6-34,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data, Geo-location or GPS Data, Legal or Criminal Information",,Expert Witness Reports,2010,State court,,,,,,,
doc-2-39,Neither Party is a Covered Entity,"Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2018,Federal court,"There's no clear evidence that HIPAA is being strategically used in this case, but a potential concern is how privacy laws might be used to withhold key evidence in employment disputes. Employers could cite HIPAA to block access to medical records in workplace injury, disability discrimi",,,,,,
doc-5-47,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2018,Federal court,,,,,,,
doc-9-01,Healthcare Provider vs. Healthcare Provider (Covered Entity),breach of fiduciary duty and acting in own self interest,,Court Rulings/Decisions,2018,State court,,,,,,,
doc-6-5,Individual vs. Healthcare Provider (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Depositions,2021,Federal court,plaintiff's partner died from suicide after receiving boosted infusions of ketamine for depression (which was not FDA approved as a depression treatment),,,,,,
doc-6-35,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2016,State court,,,,,,,
doc-9-02,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, unfair trade practices, selling personal data",,Court Rulings/Decisions,2012,Federal court,,,,,,,
doc-6-6,Resume,Not applicable (e.g. because you are dealing with a resume),,Expert Resume,2008,Can't tell,,,,,,,
doc-9-03,Individual vs. Healthcare Provider (Covered Entity),"attorney privilege, HIPAA violation if oversharing legal documents",,Court Rulings/Decisions,2014,Federal court,,,,,,,
doc-6-7,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2018,Can't tell,,,,,,,
doc-6-36,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,State court,,,,,,,
doc-5-48,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Federal court,It is Professor Sweeney's resume,,,,,,
doc-9-04,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2017,Federal court,,,,,,,
doc-6-8,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2018,Can't tell,,,,,,,
doc-6-37,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,State court,,,,,,,
doc-6-40,Neither Party is a Covered Entity,"Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2020,Federal court,,,,,,,
doc-6-38,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,State court,,,,,,,
doc-9-05,Individual vs. Health Insurance Plan (Covered Entity),"Demographics, discovery issue",,Court Rulings/Decisions,2021,Federal court,,,,,,,
doc-6-9,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2018,Can't tell,,,,,,,
doc-9-06,"Class including, government, state, and plaintiffs","Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2020,Federal court,,,,,,,
doc-9-13,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2011,Federal court,,,,,,,
doc-9-07,health care provider vs. asbestos defendant,"Personal Health Information (including biometrics, such as DNA), Demographics",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-6-41,Neither Party is a Covered Entity,"Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2020,Federal court,,,,,,,
doc-6-10,Individual vs. Government,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2016,Federal court,"Patient was not treated properly, doors were closed (patient untreated) due to ""HIPAA regulations""",,,,,,
doc-9-08,Neither Party is a Covered Entity,Demographics,,Court Rulings/Decisions,2013,Federal court,,,,,,,
doc-6-42,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2021,Federal court,,,,,,,
doc-9-09,Government vs. Healthcare Entity (Covered Entity),Telephone Consumer Protection Act,,Court Rulings/Decisions,2017,Federal court,,,,,,,
doc-6-43,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2021,Federal court,,,,,,,
doc-6-43,Neither Party is a Covered Entity,"Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2021,Federal court,,,,,,,
doc-6-44,Neither Party is a Covered Entity,"Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2021,Federal court,,,,,,,
doc-6-45,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2010,Federal court,,,,,,,
doc-6-46,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2005,State court,,,,,,,
doc-6-47,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-6-48,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-6-49,Neither Party is a Covered Entity,"Demographics, Educational or Professional Licensing Data, Legal or Criminal Information",,"Expert Witness Reports, Vitae",2022,Federal court,,,,,,,
doc-6-50,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-6-11,Individual vs. Health Insurance Plan (Covered Entity),Financial Data,,Expert Witness Reports,2021,Federal court,plaintiff is seeking compensation for medical expenses,,,,,,
doc-6-51,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-6-12,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2022,Federal court,,,,,,,
doc-6-52,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-6-53,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Depositions, Expert Witness Reports",2010,Federal court,,,,,,,
doc-6-13,Individual vs. Healthcare Provider (Covered Entity),"Financial Data, Internet or Network Activity, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2012,Federal court,involves a dispute regarding the valuation of a healthcare software platform,,,,,,
doc-6-54,Individual vs. Oil Company,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2005,State court,,,,,,,
doc-6-14,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Can't tell,,,,,,,
doc-9-14,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-6-55,Healthcare Provider vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2012,Federal court,,,,,,,
doc-6-15,Business Associate of Covered Entity (Covered Entity),Internet or Network Activity,,Expert Witness Reports,2022,Federal court,concerns faxes that were sent out containing medical information but recipients of the faxes cannot be identified/confirmed,,,,,,
doc-6-56,Washington University versus an individual,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2005,Federal court,,,,,,,
doc-6-57,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-6-16,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Can't tell,,,,,,,
doc-6-17,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2004,Can't tell,,,,,,,
doc-6-58,"Re. EST. OF MUMUN BARBAROS v. MONROE COUNTY, et al.","Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-6-18,Resume,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2012,Can't tell,,,,,,,
doc-5-49,Individual vs. Health Insurance Plan (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2021,Federal court,,,,,,,
doc-5-58,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-5-57,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2011,State court,,,,,,,
doc-2-17,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Billing data",,"Court Rulings/Decisions, Depositions, Expert Witness Reports",2018,Federal court,,,,,,,
doc-9-15,Individual vs. Health Insurance Plan (Covered Entity),Financial Data,,Court Rulings/Decisions,2019,Federal court,,,,,,,
doc-2-18,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2019,Federal court,,,,,,,
doc-9-16,Business Associate of Covered Entity (Covered Entity),Financial Data,,Court Rulings/Decisions,2020,Federal court,,,,,,,
doc-2-19,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-9-17,Healthcare Provider vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,,Court Rulings/Decisions,2015,Federal court,,,,,,,
doc-2-20,Neither Party is a Covered Entity,Medical information not covered by HIPAA (e.g. aggregate prescription data),,Depositions,2004,Federal court,,,,,,,
doc-9-18,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2009,Federal court,,,,,,,
doc-2-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Depositions, Expert Witness Reports, Legal Notices",2010,Federal court,,,,,,,
doc-2-22,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Internet or Network Activity, Legal or Criminal Information, cybersecurity",,Expert Witness Reports,2015,Federal court,,,,,,,
doc-2-23,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, research data",,Expert Witness Reports,2005,Federal court,,,,,,,
doc-9-19,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,,Court Rulings/Decisions,2016,Federal court,,,,,,,
doc-2-24,Individual vs Government,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,"Depositions, Expert Witness Reports",2022,Federal court,,,,,,,
doc-2-25,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2015,State court,,,,,,,
doc-2-27,Government vs. Healthcare Entity (Covered Entity),Financial Data,,Expert Witness Reports,2019,Federal court,,,,,,,
doc-2-28,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,"Depositions, Expert Witness Reports",2019,Federal court,,,,,,,
doc-2-29,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-30,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2016,Federal court,,,,,,,
doc-2-31,Hard to tell - Probably Individual vs Healthcare Provider,"Internet or Network Activity, Expert witness data about security and privacy",,Expert Witness Reports,2016,Federal court,,,,,,,
doc-2-32,Individual vs Government,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-33,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Depositions, Expert Witness Reports",2020,Federal court,,,,,,,
doc-2-34,Neither Party is a Covered Entity,Expert Resume,,Vitae,2017,Federal court,,,,,,,
doc-2-35,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2004,Federal court,,,,,,,
doc-2-36,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Court Rulings/Decisions, Expert Witness Reports",2023,Federal court,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
